name,artists,genre,emotion_final_adjusted
(Do The) Push And Pull - Pt. 1,['Rufus Thomas'],classic soul,Mutluluk
(Do You Get) Excited?,['Roxette'],swedish pop,Aşk
(Do You Love Me) Just Say Yes,['Highway 101'],classic country,Aşk
(Do You Remember) The Saturday Gigs? - Alternate Version,['Mott The Hoople'],glam rock,Üzüntü
(Do You Remember) The Saturday Gigs? - Alternate Version,['Mott The Hoople'],glam rock,Üzüntü
(Do the) Post-Modernist Ska,['Johnny Socko'],ska punk,Mutluluk
(Do)Minion,Eluveitie,folk metal,Üzüntü
(Dolce et Decorum est) Pro Patria Mori,Ragnarok,black metal,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,Blue Öyster Cult,classic rock,Üzüntü
(Don't Fear) The Reaper,Caesars,,Üzüntü
(Don't Fear) The Reaper,HIM,gothic metal,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Demo - 1975,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Live,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Live,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Live,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Live,['Blue Öyster Cult'],classic rock,Üzüntü
"(Don't Fear) The Reaper - Live at Barton Coliseum, Little Rock, AR - April 1978",['Blue Öyster Cult'],classic rock,Üzüntü
"(Don't Fear) The Reaper - Live at Hollywood Sportatorium, Pembroke Pines, FL - October 1981",['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Remastered,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Remastered,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Single Version,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) The Reaper - Single Version,Blue Öyster Cult,classic rock,Üzüntü
(Don't Fear) The Reaper - Tv Mix Remastered,['Blue Öyster Cult'],classic rock,Üzüntü
(Don't Fear) the Reaper,Keep Shelly In Athens,chillwave,Üzüntü
(Don't Fight It) Feel It,['Sam Cooke'],motown,Mutluluk
(Don't Fight It) Feel It - AronChupa Edit [La Vida Nuestra Soundtrack],AronChupa,electro swing,Mutluluk
(Don't Fight It) Feel It - AronChupa Edit [La Vida Nuestra Soundtrack],AronChupa,electro swing,Aşk
(Don't Go Back To) Rockville - Remastered 2006,R.E.M.,jangle pop,Mutluluk
"(Don't Worry) If There Is a Hell Below, We're All Going to Go",['Curtis Mayfield'],classic soul,Enerji
"(Don't Worry) If There Is a Hell Below, We're All Going to Go",['Curtis Mayfield'],classic soul,Enerji
"(Don't Worry) If There's a Hell Below We're All Going to Go - Backing Track, Take 1 & 2",['Curtis Mayfield'],classic soul,Korku
(Don't Worry) If There's a Hell Below We're All Going to Go - Single Version,['Curtis Mayfield'],classic soul,Korku
"(Don't Worry) If There's a Hell Below, We're All Going to Go",Narada Michael Walden,post-disco,Korku
(Don't) Give Hate a Chance,Jamiroquai,acid jazz,Aşk
(Don't) Talk to Strangers,Agent blå,post-punk,Aşk
(Don't) Talk to Strangers,['Agent blå'],post-punk,Aşk
(Don't) Wannabe,['Kristin Kontrol'],,Enerji
(Don’t Fear) the Reaper (Blue Oyster Cult),['Unto Ashes'],neoclassical,Üzüntü
(Don’t Fear) the Reaper (Blue Oyster Cult),['Unto Ashes'],neoclassical,Üzüntü
(Down) The Left Hand Path,['Cage'],horrorcore,Mutluluk
(Drawing) Rings Around the World,Super Furry Animals,britpop,Üzüntü
(Drop Dead) Beautiful,Britney Spears,pop,Enerji
(Dry Cry) Just One of Those Days,Sizzla,reggae,Aşk
(Dying Inside) To Hold You - Heartbreak Radio Edit,['Timmy Thomas'],classic soul,Aşk
(Eat Shit) We Did It,['Born Ruffians'],,Enerji
(Every Time I Turn Around) Back In Love Again,The Temptations,motown,Aşk
(Every Time I Turn Around) Back In Love Again,L.T.D.,quiet storm,Aşk
(Every Time I Turn Around) Back In Love Again,['L.T.D.'],quiet storm,Aşk
(Everybody Wanna Get Rich) Rite Away,['Dr. John'],cajun,Mutluluk
(Everybody Wanna Get Rich) Rite Away,Dr. John,cajun,Mutluluk
(Everybody's Waitin' For) The Man With The Bag,['Various Artists'],christmas,Mutluluk
(Everybody's Waitin' For) The Man With The Bag - Remastered 1996,Kay Starr,christmas,Mutluluk
(Everybody) Get Down,['Gary Valenciano'],opm,Enerji
(Everybody’s Waitin’ For) The Man With The Bag,['Various Artists'],,Mutluluk
(Everything I Do ) I Do It For You,['Brandy'],r&b,Üzüntü
(Everything I Do ) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It For You,Bryan Adams,,Üzüntü
(Everything I Do) I Do It For You,Bryan Adams,,Üzüntü
(Everything I Do) I Do It For You,['Julia Westlin'],,Üzüntü
(Everything I Do) I Do It For You,New Found Glory,pop punk,Üzüntü
(Everything I Do) I Do It For You,['Bryan Adams'],,Üzüntü
(Everything I Do) I Do It For You,Bryan Adams,,Üzüntü
(Everything I Do) I Do It For You,['Bryan Adams'],,Üzüntü
(Everything I Do) I Do It For You,['Bryan Adams'],,Üzüntü
(Everything I Do) I Do It For You (feat. LeAnn Rimes),"['Kenny G', 'LeAnn Rimes']",smooth jazz,Üzüntü
(Everything I Do) I Do It For You - 2017 Ultimate Edit,['Bryan Adams'],,Üzüntü
(Everything I Do) I Do It For You - Live,Bryan Adams,,Aşk
(Everything I Do) I Do It For You - Live - Bare Bones,Bryan Adams,,Aşk
(Everything I Do) I Do It For You - Live At Sydney Opera House / 2013,Bryan Adams,,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Grace Grundy'],,Üzüntü
(Everything I Do) I Do It for You,Brandy,r&b,Üzüntü
(Everything I Do) I Do It for You,JJ Heller,lullaby,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything I Do) I Do It for You,Boyce Avenue,acoustic pop,Üzüntü
(Everything I Do) I Do It for You,['Brandy'],r&b,Üzüntü
(Everything Is) Debatable,Hellogoodbye,,Üzüntü
(Exactly Where We're From),Mirah,,Aşk
(Exchange) - Remastered 2019,Massive Attack,trip hop,Üzüntü
(F)Inally (U)Nderstanding (N)Othing,Emmure,deathcore,Üzüntü
(F)lannigan's Ball,Dropkick Murphys,celtic punk,Üzüntü
(F)lannigan's Ball - Original Version,Dropkick Murphys,celtic punk,Üzüntü
(F)lanningan's Ball,Dropkick Murphys,celtic punk,Aşk
(FOREVER!!!!!!!!!) [WOW OK Remix],glass beach,,Enerji
(Fallin' Like) Dominoes,Donald Byrd,hard bop,Mutluluk
(Fallin' Like) Dominoes - Live,Donald Byrd,hard bop,Enerji
(Far From) Home,['Tiga'],electroclash,Mutluluk
(Far From) Home (The Speed of Sexor Reprise),['Tiga'],electroclash,Enerji
(Far From) Home - The Speed of Sexor Reprise,Tiga,electroclash,Enerji
(Feels Like) Heaven,Roosevelt,nu disco,Enerji
(Feels Like) Heaven,Fiction Factory,new wave,Mutluluk
(Feels Like) Heaven,Fiction Factory,new wave,Mutluluk
(Feels Like) Heaven,['Various Artists'],new wave,Mutluluk
(Feels Like) Heaven - Extended Version,['Fiction Factory'],new wave,Enerji
(Find A) Reason To Believe,['Rod Stewart'],soft rock,Aşk
(Find My) Tracks In The Snow,['Grant Miller'],italo disco,Enerji
(Find My) Tracks In The Snow,Grant Miller,italo disco,Enerji
(Flesh & Blood) Sacrifice - 2006 Remaster,['Poison'],glam metal,Aşk
(Flesh & Blood) Sacrifice - Remastered 1996,Poison,glam metal,Aşk
(Fly Away) Little Paraquayo,['George Baker Selection'],nederpop,Mutluluk
(Fly Me To The Moon) In Other Words,"[""Anita O'Day""]",vocal jazz,Aşk
(Folk) up the Punx!,Sledding With Tigers,folk punk,Mutluluk
(For God's Sake) Give More Power To The People,['The Chi-Lites'],classic soul,Aşk
(For You) I'd Chase a Rainbow,['kalapana'],,Üzüntü
(For You) I'd Chase a Rainbow - Remastered,['kalapana'],,Üzüntü
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,new wave,Üzüntü
(Forever) Live And Die,Orchestral Manoeuvres In The Dark,new wave,Üzüntü
(Forever) Live And Die - Remastered 2019,Orchestral Manoeuvres In The Dark,new wave,Mutluluk
(Fork And Knife),Brand New,emo,Aşk
(Fuck A) Silver Lining,['Panic! At The Disco'],emo,Mutluluk
(Fuck The) U.S.A.,['The Exploited'],punk,Üzüntü
(Fuck the) U.S.A.,The Exploited,punk,Üzüntü
(G) H O S T S,Overthrone,metalcore,Üzüntü
(Get A) Grip (On Yourself) - 1996 Remaster,['The Stranglers'],proto-punk,Mutluluk
(Get A) Grip [on Yourself],The Stranglers,proto-punk,Aşk
(Get Your Kicks On) Route 66,['Nat King Cole'],christmas,Sakinlik
(Get Your Kicks On) Route 66 - 2006 Remaster,Dr. Feelgood,proto-punk,Mutluluk
(Get Your Kicks On) Route 66 - Remastered,['Dr. Feelgood'],proto-punk,Mutluluk
(Getting Some) Fun Out of Life,Madeleine Peyroux,french jazz,Üzüntü
(Getting Some) Fun out of Life,['Madeleine Peyroux'],french jazz,Üzüntü
(Ghost) Riders In The Sky,['Sons of the Pioneers'],traditional country,Korku
(Ghost) Riders In The Sky,['Me First and the Gimme Gimmes'],ska punk,Korku
(Ghost) Riders In The Sky,['Marty Robbins'],classic country,Aşk
(Ghost) Riders In The Sky,Riders In The Sky,,Korku
(Ghost) Riders In The Sky,['The Outlaws'],southern rock,Korku
(Ghost) Riders In the Sky,['Johnny Cash'],classic country,Korku
(Ghost) Riders In the Sky,Johnny Cash,classic country,Korku
"(Ghost) Riders In the Sky - Digitally Remastered, 1996",['The Outlaws'],southern rock,Korku
"(Ghost) Riders In the Sky - Digitally Remastered, 1996",['The Outlaws'],southern rock,Korku
"(Ghost) Riders In the Sky - Digitally Remastered, 1996",['The Outlaws'],southern rock,Korku
(Ghost) Riders in the Sky,['Johnny Cash'],classic country,Korku
(Ghost) Riders in the Sky,['Johnny Cash'],classic country,Korku
(Ghost) Riders in the Sky,['Johnny Cash'],classic country,Korku
(Ghost) Riders in the Sky,['Johnny Cash'],classic country,Korku
(Ghost) Riders in the Sky,Me First and the Gimme Gimmes,ska punk,Korku
"(Ghost) Riders in the Sky - Live at Nassau Coliseum, Uniondale, NY - March 1990",['The Highwaymen'],outlaw country,Korku
(Go To) California,Rob Zombie,industrial metal,Enerji
(God Must Have Spent) A Little More Time On You,['*NSYNC'],,Üzüntü
(God Must Have Spent) A Little More Time On You - Remix,['*NSYNC'],,Üzüntü
(God Must Have Spent) A Little More Time On You - Remix,['*NSYNC'],,Üzüntü
(Goin' All Out) Nothin' To Lose,['Cypress Hill'],west coast hip hop,Mutluluk
(Gonna) Carry That Weight,['Autumn Orange'],lo-fi,Aşk
(Gonna) Shine Up My Boots,['Corb Lund'],red dirt,Aşk
(Gonna) Shine Up My Boots,Corb Lund,red dirt,Mutluluk
"(Good Old Electric) Washing Machine (Circa 1943) - Buddha Remastered - September 3, 2001",['John Hartford'],bluegrass,Mutluluk
(Goodnight My Love) Pleasant Dreams,Tavares,disco,Aşk
(Gotta Get A) Meal Ticket,['Elton John'],,Enerji
(Gotta Get Some Action) Now!,The Hellacopters,garage rock,Üzüntü
(Gotta Get Some) Shut-Eye,['Glenn Miller'],big band,Mutluluk
(Gun Fever) Blam Blam Fever,['The Valentines'],doo-wop,Mutluluk
(Happy Birthday ) Mr. Twenty-One,['The Orlons'],doo-wop,Sakinlik
(Happy Birthday) Mr.Twenty-One,['The Orlons'],doo-wop,Mutluluk
(Happy Without You),Miami Horror,nu disco,Mutluluk
(Have I Stayed) Too Long At The Fair / Ready To Begin Again,Christine Ebersole,musicals,Üzüntü
(Have I Stayed) Too Long At the Fair? - Live in Concert,['Barbra Streisand'],adult standards,Aşk
